Time,Reference number,Author(s):,Type of Research:,"Publisher (e.g. ADB, UNESCO, journal name):",Publication year:,Publication language:,Country or countries studied,Region(s) studied:,Levels of education discussed,Research approach:,Research Methods,Theoretical Framework,How is private tutoring framed in the publication?,What is taught during private tutoring?,Where does private tutoring occur?,Does the teacher charge for private tutoring?,How large are the tutoring classes?,How large is the tutoring operation?,Why are students taking private tutoring?,Reviewer Name,Reviewer Name,Type of Publication:,Who provides tutoring services?,How is private tutoring viewed in the article?,Additional important details:,What data set was used?,Data drawn from the following stakeholders:,"If previous answer was equity, then please define equity concern here",Was data set used?
5/21/2014 6:55:57,25,,Original empirical research,UNESCO,1999,English,Cambodia,Southeast Asia,Primary,Single-country / case,Mixed-methods,None or Unclear to us,"Related to curriculum coverage / ed. quality / exam prep, Household Expenditures",Subjects taught in school,"On school grounds, Designated tutoring center or franchise","Yes, they charge a fee",Various class sizes discussed,Individual operator,Not stated or unclear,,Mike,Report,"Current classroom teacher, Other K-12 teachers",,Private tutoring is only one small part of a larger report on private costs of schooling.,,"Teachers who do not tutor, Teachers who tutor, Parents / household, Policymakers",,No
5/21/2014 18:14:37,61,,Original empirical research, Sociology of Education,2011,English,,U.S. & Canada,Secondary,,Quantitative,parent involvement ,"Related to curriculum coverage / ed. quality / exam prep, Equity, Household Expenditures",Subjects taught in school,Not defined,Not defined,Unclear,,Preparation for exams to make student more competitive,,Xia Zhao,Journal Article,Not defined,Does not address benefits or concerns,,Korea Education Longitudinal Study (KELS) conducted by the Koran Educational Development Institute. ,"Parents / household, Students"," Higher SES parents who have more economic and human resources are probably more likely than lower SES parents to succeed in finding and affording high-quality pri- vate tutoring for their children, which in turn likely influences their children’s academic perfor- mance. ",Yes
5/21/2014 18:48:26,10,,Original empirical research,Social Forces,2010,English,,U.S. & Canada,Secondary,,Quantitative,None or Unclear to us,"Related to curriculum coverage / ed. quality / exam prep, Equity, Household Expenditures",Subjects taught in school,Not defined,"Yes, they charge a fee",Unclear,Various,Preparation for exams to make student more competitive,,Xia Zhao,Journal Article,Not defined,Raises concerns,,Data are drawn from the National Education Longitudinal Study in 1994,"Parents / household, Students",Students From the most advantaged Families are significantly more likely to enroll in private courses.,Yes
5/21/2014 20:58:55,11,,Review of other research,Social Forces,2010,English,,U.S. & Canada,Secondary,Single-country / case,None or unclear,None or Unclear to us,"Related to curriculum coverage / ed. quality / exam prep, Equity",Subjects taught in school,Not defined,Not defined,Unclear,,Not stated or unclear,,Xia Zhao,Journal Article,Not defined,Does not address benefits or concerns,,,,,No
5/21/2014 22:37:32,15,,Original empirical research,Sociology of Education,2012,English,,U.S. & Canada,Secondary,Single-country / case,Quantitative,None or Unclear to us,"Related to curriculum coverage / ed. quality / exam prep, Equity",Subjects taught in school,Not defined,Not defined,Various class sizes discussed,,"Preparation for exams to make student more competitive, For cultural reasons",,Xia Zhao,Journal Article,Not defined,Addresses both benefits and concerns,, Data drawn from Educational Longitudinal Study of 2002-2006 (ELS:02-06) conducted by the NationalCenter for Education Statistics (NCES).,Students,SES inequality leads to unequal opportunities of private tutoring,Yes
5/22/2014 12:07:33,67,,Original empirical research,Columbia University,2011,English,China,East Asia,Secondary,Single-country / case,Quantitative,None or Unclear to us,"Related to curriculum coverage / ed. quality / exam prep, Global Trend, Household Expenditures",Subjects taught in school,"Designated tutoring center or franchise, On-line / via web, In the student's home, Other outside school (e.g. teacher's home, coffee shop, library)","Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, Peer pressure, Teacher pressure",,Xia Zhao,Dissertation,"Current classroom teacher, Other K-12 teachers, Institution / Professional tutor, College student",Addresses both benefits and concerns,,Survey conducted by the author in Shandong province of China.,"Teachers who do not tutor, Teachers who tutor, Parents / household, Students, principles",,Yes
5/22/2014 13:02:14,118e,,"Original empirical research, Review of other research",Sense Publishers,2013,English,,Mediterranean,"Primary, Secondary",Comparative,Qualitative,Various (edited book),"Related to curriculum coverage / ed. quality / exam prep, Equity",Subjects taught in school,"On school grounds, Designated tutoring center or franchise, On-line / via web, In the student's home, Other outside school (e.g. teacher's home, coffee shop, library)","Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, Teacher pressure",,Iveta,Book,"Current classroom teacher, Other K-12 teachers, Institution / Professional tutor",Addresses both benefits and concerns,,,"Teachers who do not tutor, Teachers who tutor, Tutors who are not teachers, Parents / household, Students","SES, gender",No
5/22/2014 13:10:24,119e,,Review of other research,Sense Publishers,2013,English,,Mediterranean,"Primary, Secondary",Comparative,Qualitative,None or Unclear to us,"Related to curriculum coverage / ed. quality / exam prep, Equity",Subjects taught in school,"On school grounds, Designated tutoring center or franchise, On-line / via web, In the student's home, Other outside school (e.g. teacher's home, coffee shop, library)","Yes, they charge a fee",Various class sizes discussed,Various,Not stated or unclear,,Iveta,Book Chapter,"Current classroom teacher, Other K-12 teachers, Retired teacher, University faculty, Institution / Professional tutor, College student, Peer/classmate",Addresses both benefits and concerns,,,N/A [documents],,No
5/22/2014 13:22:47,120e,,Original empirical research,Sense Publishers,2013,English,Bosnia & Herzegovina and Croatia,Eastern Europe,Secondary,Comparative,Qualitative,None or Unclear to us,"Related to curriculum coverage / ed. quality / exam prep, Equity",Subjects taught in school,"On school grounds, Designated tutoring center or franchise, In the student's home, Other outside school (e.g. teacher's home, coffee shop, library)","Yes, they charge a fee",Various class sizes discussed,"Individual operator, Small firm","Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Teacher pressure, to provide structured time outside of school",,Iveta,Book Chapter,"Current classroom teacher, Other K-12 teachers, Institution / Professional tutor",Raises concerns,"quote from a teacher: ""somewhere along the ling in the last 20 years we have become a society and educational system that does not value or foster equal opportunities and equality. I do not know where we lost that"" .... ""you cannot enter capitalism and expect that education will be left out of it"" p. 23 (reflecting on the transition to market)",,"Teachers who do not tutor, Teachers who tutor, Tutors who are not teachers, Parents / household, Policymakers",SES,No
5/22/2014 14:04:24,121e,,Original empirical research,Sense Publishers,2013,English,Cyprus,,"Primary, Secondary",Single-country / case,Quantitative,None or Unclear to us,"Equity, Household Expenditures",Both,Designated tutoring center or franchise,"Yes, they charge a fee",Various class sizes discussed,"Small firm, Large firm",Preparation for exams to make student more competitive,,Iveta,Book Chapter,Institution / Professional tutor,Addresses both benefits and concerns,,"three datasets from Cyprus Statistical Service, including 2000, 2003, 2009 ",Parents / household,SES,Yes
5/22/2014 14:16:28,122e,,Original empirical research,Sense Publishers,2013,English,Egypt,,"Primary, Secondary",Single-country / case,Qualitative,Critical ethnography,"Equity, Global Trend",Subjects taught in school,"Designated tutoring center or franchise, In the student's home, Other outside school (e.g. teacher's home, coffee shop, library)","Yes, they charge a fee",Various class sizes discussed,"Individual operator, Small firm","Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school",,Iveta,Book Chapter,"Other K-12 teachers, Institution / Professional tutor",Addresses both benefits and concerns,"Across class boundaries, tutoring is regarded as a positional good: parents invest in it in order to provide their children with a competitive advantage... the educational in itself is devalued"" (p. 67)

The mere fact of having studied in the public system rather than the private schools constitutes a stigma and is taken as a indicative of a student's lower class background"" (p. 71)",,"Teachers who tutor, Tutors who are not teachers, Parents / household, Students","SES, gender",No
5/22/2014 14:27:50,123e,,Review of other research,Sense Publishers,2013,English,France,,"Primary, Secondary",Single-country / case,Qualitative,"Social Capital, Human Capital, Cultural Capital","Related to curriculum coverage / ed. quality / exam prep, Equity, Supply & Demand / Economic Efficiency",Both,"Designated tutoring center or franchise, In the student's home, Other outside school (e.g. teacher's home, coffee shop, library)","Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, academic coaching aimed at raising motivation to study and identify professional goals",,Iveta,Book Chapter,"Other K-12 teachers, Retired teacher, University faculty, Institution / Professional tutor, College student",Raises concerns,,,N/A [documents],SES,No
5/22/2014 14:34:35,124e,,,Sense Publishers,2013,English,Greece,,"Primary, Secondary, Tertiary",Single-country / case,Qualitative,None or Unclear to us,"Related to curriculum coverage / ed. quality / exam prep, Equity",Subjects taught in school,"On school grounds, Designated tutoring center or franchise, In the student's home, Other outside school (e.g. teacher's home, coffee shop, library)","Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, Peer pressure",,Iveta,Book Chapter,"Retired teacher, College student",Addresses both benefits and concerns,Constitutional right to free education for all citizens is practically ineffective (p. 104),,N/A [documents],"SES, gender, rural/urban",No
5/22/2014 14:41:58,125e,,Original empirical research,Sense Publishers,2013,English,Italy,,"Primary, Secondary",Single-country / case,Qualitative,Critical Theory,"Related to curriculum coverage / ed. quality / exam prep, Equity, resistance ",Subjects taught in school,Not defined,Both,Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school",,Iveta,Book Chapter,"Current classroom teacher, Other K-12 teachers, Retired teacher, University faculty, Institution / Professional tutor, College student",Addresses both benefits and concerns,Private tutoring is an outcome of the absence of adequate provisions in public schools to assure equal opportunities for all students. p. 126,,N/A [documents],SES,No
5/22/2014 14:49:05,126e,,Review of other research,Sense Publishers,2013,English,Malta,,"Primary, Secondary",Single-country / case,Qualitative,Human Rights,"Related to curriculum coverage / ed. quality / exam prep, Equity",Subjects taught in school,Not defined,"Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school",,Iveta,Book Chapter,Not defined,Raises concerns,"PT is ""the invisible purchase of educational privilege by some parents"" (p. 142)",,N/A [documents],SES,No
5/22/2014 15:14:59,127e,,Original empirical research,Sense Publishers,2013,English,Portugal,,"Primary, Secondary",Single-country / case,Quantitative,None or Unclear to us,"Related to curriculum coverage / ed. quality / exam prep, Equity, Supply & Demand / Economic Efficiency, Global Trend",Subjects taught in school,Not defined,"Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive",,Iveta,Book Chapter,Not defined,Addresses both benefits and concerns,,,Students,SES,No
5/22/2014 15:39:44,128e,,Original empirical research,Sense Publishers,2013,English,Slovenia,,"Primary, Secondary, Tertiary",Single-country / case,Qualitative,None or Unclear to us,"Related to curriculum coverage / ed. quality / exam prep, Supply & Demand / Economic Efficiency",Subjects taught in school,On-line / via web,"Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school",,Iveta,Book Chapter,Not defined,Addresses both benefits and concerns,PT reflects greater emphasis on materialism (p. 175). PT has become a service industry targeting individuals who aspire- and who can pay - for more. (p. 175),,N/A [documents],,No
5/22/2014 17:20:28,214,,Original empirical research,International Perspectives on Education and Society,2013,English,Turkey,Eastern Europe,Secondary,Single-country / case,Quantitative,None or Unclear to us,"Related to curriculum coverage / ed. quality / exam prep, Equity, Household Expenditures",Subjects taught in school,Not defined,"Yes, they charge a fee",Various class sizes discussed,Various,Preparation for exams to make student more competitive,,Hang Duong,Journal Article,"Current classroom teacher, Other K-12 teachers, Institution / Professional tutor",Raises concerns,,Ministry of National Education,N/A [documents],the spatial equity issues in the distribution of Supplementary edu centers and secondary schools among the provinces of Turkey (p.26),Yes
5/22/2014 17:48:00,129e,,Review of other research,Sense Publishers,2013,English,Turkey,,Secondary,Single-country / case,Qualitative,"Social Capital, Cultural Capital","Related to curriculum coverage / ed. quality / exam prep, Equity",Subjects taught in school,Designated tutoring center or franchise,"Yes, they charge a fee",Various class sizes discussed,Various,Preparation for exams to make student more competitive,,Iveta,Book Chapter,Institution / Professional tutor,Raises concerns,,,N/A [documents],"SES, rural/urban",No
5/22/2014 17:54:56,215,,Original empirical research,International Perspectives on Education and Society,2013,English,China,East Asia,Secondary,Single-country / case,Mixed-methods,None or Unclear to us,Related to curriculum coverage / ed. quality / exam prep,Subjects taught in school,On school grounds,Not defined,Unclear,,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, For cultural reasons",,Hang Duong,Journal Article,Current classroom teacher,Does not address benefits or concerns,This article is mainly concerned with research methodology of PT,primary data,"Teachers who do not tutor, Teachers who tutor, Parents / household, Students",,Yes
5/22/2014 17:56:30,130e,,Original empirical research,Sense Publishers,2013,English,Turkey,,"Primary, Secondary",Single-country / case,Qualitative,"Social Capital, Cultural Capital","Related to curriculum coverage / ed. quality / exam prep, Equity",Subjects taught in school,Designated tutoring center or franchise,"Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school",,Iveta,Book Chapter,Not defined,Raises concerns,PT acts as a sorting out mechanism (p. 201). The demand for PT increased because of the mismatch between curriculum reform (based on competencies) and high-stakes exams (based on facts).,,Teachers who do not tutor,SES,No
5/22/2014 18:00:19,131e,,Review of other research,Sense Publishers,2013,English,,Mediterranean,"Primary, Secondary",Comparative,Qualitative,"Social Capital, Critical Theory, Political Theory","Related to curriculum coverage / ed. quality / exam prep, Equity",Subjects taught in school,"On school grounds, Designated tutoring center or franchise, On-line / via web, In the student's home, Other outside school (e.g. teacher's home, coffee shop, library)","Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, Peer pressure, Teacher pressure, resistance",,Iveta,Book Chapter,Not defined,Raises concerns,private tutoring as a hegemonic and anti-hegemonic space,,N/A [documents],"SES, gender, rural/urban",No
5/23/2014 9:20:30,186e,,Original empirical research,American Journal of Sociology,1992,English,Japan,East Asia,Secondary,Single-country / case,Quantitative,None or Unclear to us,Related to curriculum coverage / ed. quality / exam prep,Subjects taught in school,Not defined,"Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive",,Xia Zhao,Journal Article,Not defined,Does not address benefits or concerns,,The data come from a  large longitudinal study of high school seniors in Japan conducted by the Youth Research Institute of Tokyo  in  1980 and 1982.,Students,,Yes
5/23/2014 9:43:43,179e,,Original empirical research,Reading Improvement,2011,English,US,U.S. & Canada,Secondary,Single-country / case,Qualitative,None or Unclear to us,Related to curriculum coverage / ed. quality / exam prep,Subjects taught in school,Designated tutoring center or franchise,"Yes, they charge a fee",Unclear,,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive",,Xia Zhao,Journal Article,Not defined,Does not address benefits or concerns,,,"Teachers who tutor, Tutors who are not teachers, Students",,No
5/23/2014 10:05:08,177e,,Original empirical research,British Educational Research Journal,2013,English,British,Western Europe,"Primary, Secondary",Single-country / case,Mixed-methods,None or Unclear to us,Related to curriculum coverage / ed. quality / exam prep,Subjects taught in school,Not defined,Not defined,Unclear,Various,Not stated or unclear,,Xia Zhao,Journal Article,Not defined,Discusses benefits,,Data drawn from a national postal survey of 1136 supplementary schools in British. The survey (compiled from the National Resource Centre (NRC) for Supplementary Schools’ database) was conducted by a London research centre and built upon a previous survey undertaken with supplementary school community language teachers ,"Teachers who do not tutor, Teachers who tutor, Tutors who are not teachers, Parents / household, Students",,Yes
5/25/2014 1:16:59,216,,Review of other research,International Perspectives on Education and Society,2013,English,Vietnam,Southeast Asia,"Primary, Secondary",Single-country / case,Quantitative,None or Unclear to us,"Related to curriculum coverage / ed. quality / exam prep, Equity, Supply & Demand / Economic Efficiency, Household Expenditures",Subjects taught in school,Not defined,"Yes, they charge a fee",Unclear,,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, For cultural reasons",,Hang Duong,Journal Article,Not defined,Addresses both benefits and concerns,,"(i) the 2006 Vietnam Household Living Standards Measurement Survey (VHLSS), (ii) the 19971998 Vietnam Living Standards Measurement Survey (VLSS), (iii) the 2008
Vietnam Household Testing Survey (VHTS)","Parents / household, N/A [documents]","given the disparities in attendance at tutoring classes between rich and poor, urban and rural, and ethnic majority groups and minority groups, the concern about inequalities in access to tutoring seems to be indeed justified (p.117)",Yes
5/25/2014 12:19:17,217,,Review of other research,International Perspectives on Education and Society,2013,English,Brazil,Latin America & Caribbean,"Primary, Secondary",Single-country / case,Qualitative,None or Unclear to us,"Related to curriculum coverage / ed. quality / exam prep, Equity, Global Trend",Subjects taught in school,"Designated tutoring center or franchise, Other outside school (e.g. teacher's home, coffee shop, library)","Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school",,Hang Duong,Journal Article,Not defined,Raises concerns,,,N/A [documents],supplementary education is a result of quality deficiencies and inequity,No
5/25/2014 16:01:55,162e,,Review of other research,Journal of Youth Studies ,2009,English,Singapore,South Asia,"Pre-primary, Primary, Secondary",Single-country / case,Qualitative,None or Unclear to us,Related to curriculum coverage / ed. quality / exam prep,Subjects taught in school,Not defined,Both,Unclear,,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, government's financial support",,Xia Zhao,Journal Article,"Current classroom teacher, Other K-12 teachers, Retired teacher, Institution / Professional tutor, College student, Peer/classmate, Community member / volunteer",Does not address benefits or concerns,,,N/A [documents],,No
5/25/2014 16:27:19,165e,,Original empirical research,Asia Pacific Education Review,2010,English,South Korea,East Asia,Secondary,Single-country / case,Quantitative,None or Unclear to us,"Related to curriculum coverage / ed. quality / exam prep, Household Expenditures",Subjects taught in school,Not defined,Not defined,Unclear,,"Preparation for exams to make student more competitive, For cultural reasons",,Xia Zhao,Journal Article,Not defined,Does not address benefits or concerns,,Survey conducted by the author.,"Parents / household, Students",,Yes
5/25/2014 16:46:16,9,,Original empirical research,School of Public Policy and Management,2005,English,South Korea,East Asia,Secondary,Single-country / case,Quantitative,None or Unclear to us,"Related to curriculum coverage / ed. quality / exam prep, Household Expenditures",Subjects taught in school,Not defined,Not defined,Unclear,,Preparation for exams to make student more competitive,,Xia Zhao,Journal Article,Not defined,Does not address benefits or concerns,,Korean National Assessment of Educational Achievement (NAEA) 2001.,Students,,Yes
5/25/2014 16:57:20,218,,Review of other research,International Perspectives on Education and Society,2013,English,Canada,U.S. & Canada,"Primary, Secondary",single country but some comparisons were made,Qualitative,organizational field approach,"Supply & Demand / Economic Efficiency, on the periphery of the broader organizational field of edu.",Both,"Designated tutoring center or franchise, On-line / via web, In the student's home, Other outside school (e.g. teacher's home, coffee shop, library)",Both,Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, help stu have “confidence” in their abilities (p.160)",,Hang Duong,Journal Article,"Other K-12 teachers, Retired teacher, Institution / Professional tutor, College student, Community member / volunteer",Does not address benefits or concerns,"Supplementary edu in Canada has occurred not by shadowing Canadian public schools, but by remaining on the periphery of the broader organizational field, and by having a relative weak impact on schooling, stratification, and socialization processes (p.164)",,N/A [documents],,No
5/26/2014 0:26:32,219,,Original empirical research,International Perspectives on Education and Society,2013,English,Australia,Australia & New Zealand,Secondary,Single-country / case,Qualitative,None or Unclear to us,Related to curriculum coverage / ed. quality / exam prep,Subjects taught in school,"On school grounds, Designated tutoring center or franchise, In the student's home, Other outside school (e.g. teacher's home, coffee shop, library)",Both,Various class sizes discussed,Various,Preparation for exams to make student more competitive,,Hang Duong,Journal Article,Not defined,Discusses benefits,"Overall the research suggests that, perhaps we should not worry overly much about
the inequalities brought by private tutoring as, yet again, the market shows itself to less efficient than some hope it to be and that others might fear it is (p.172)",,Students,,No
5/26/2014 11:07:29,220,,Policy analysis,International Perspectives on Education and Society,2013,English,US,U.S. & Canada,Secondary,Single-country / case,Qualitative,None or Unclear to us,publicly funded after-school tutoring for low-achieving stu,Subjects taught in school,"On school grounds, Designated tutoring center or franchise","Yes, they charge a fee",Various class sizes discussed,Various,Student falls behind and needs extra help (Remediation),,Hang Duong,Journal Article,"Other K-12 teachers, Institution / Professional tutor",Addresses both benefits and concerns,"this study is about the supplemental educational services (SES) program of the No Child Left Behind (NCLB) Act in the United States: This government- sponsored tutoring is particularly an interesting case in which privately funded tutoring is increasingly integrated into a public policy. As a result, private tutoring once used by wealthy students becomes available to
poor students through a public subsidy (p.193)",,N/A [documents],,No
5/26/2014 11:33:38,221,,Review of other research,International Perspectives on Education and Society,2013,English,Germany,Western Europe,"Primary, Secondary",Single-country / case,Qualitative,None or Unclear to us,"Related to curriculum coverage / ed. quality / exam prep, Equity, Supply & Demand / Economic Efficiency",Both,"Designated tutoring center or franchise, On-line / via web, In the student's home, Other outside school (e.g. teacher's home, coffee shop, library)","Yes, they charge a fee",Various class sizes discussed,Various,"Make up for perceived failure in the mainstream system / school, parents’ fears and perceptions of poor school quality",,Hang Duong,Journal Article,"Retired teacher, Institution / Professional tutor, College student, Community member / volunteer",Raises concerns,a complex combination of parents’ fears and perceptions of poor school quality push German students and their parents into the supplementary education sector (p.218),,N/A [documents],In the German case with its structured school system supplementary education creates even more difference and with it  probably  more social inequality p.218.,No
5/26/2014 16:41:36,222,,Policy analysis,International Perspectives on Education and Society,2013,English,US vs S.Korea,"East Asia, U.S. & Canada","Primary, Secondary",Comparative,Qualitative,neolibralism,"Related to curriculum coverage / ed. quality / exam prep, Equity",Subjects taught in school,"On school grounds, Designated tutoring center or franchise, In the student's home, Other outside school (e.g. teacher's home, coffee shop, library)","Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, parents anxiety (SK case)",,Hang Duong,Journal Article,Not defined,Addresses both benefits and concerns,"In order to enhance school quality, policymakers are blurring older distinctions
between public and private organizations. However, it may be that these policy goals for supplementary educational services are undercut by the very markets that are used to deliver the services. (p.242)",,N/A [documents],both SES in the US and ASP in SK aim to address the negative consequences of inequitable schooling,No
5/27/2014 0:23:18,223,,Original empirical research,International Perspectives on Education and Society,2013,English,,Global / Worldwide,"Primary, Secondary",Comparative,Quantitative,Cultural Capital,"Related to curriculum coverage / ed. quality / exam prep, Equity, Household Expenditures",Subjects taught in school,Not defined,"Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, family/culture capital",,Hang Duong,Journal Article,"Current classroom teacher, Other K-12 teachers, Retired teacher, University faculty, Institution / Professional tutor, College student, Community member / volunteer",Raises concerns,"family resources: economic, social, and cultural capital affect the use of SE (p.254): Families with more cultural capital purchase more education for their children and
make more educational investments.",PISA,Students,SE can be an “unequalizer.” (p.246),Yes
5/27/2014 11:50:56,212,,Original empirical research,University of Chicago Press ,2010,English,US,U.S. & Canada,"Primary, Secondary",Single-country / case,Qualitative,actor-network theory,"Related to curriculum coverage / ed. quality / exam prep, Equity, publicly funded after-school tutoring for low-achieving stu",Subjects taught in school,"On school grounds, Designated tutoring center or franchise","Yes, they charge a fee",Unclear,Various,"Student falls behind and needs extra help (Remediation), Make up for perceived failure in the mainstream system / school",,Hang Duong,Book,"Other K-12 teachers, Institution / Professional tutor",Raises concerns,this book is about the SES industry in the NCLB policy,,"Teachers who do not tutor, Teachers who tutor, Parents / household, Policymakers, SES providers",NCLB policy is originally intended to enhance equity and opportunities in edu,No
5/27/2014 12:26:16,160e,,Original empirical research,Education Economics,2013,English,Brazil,Latin America & Caribbean,Secondary,Single-country / case,Quantitative,None or Unclear to us,"Related to curriculum coverage / ed. quality / exam prep, Equity/ Holdhold expenditure",Subjects taught in school,Not defined,"Yes, they charge a fee",Unclear,,Preparation for exams to make student more competitive,,Hang Duong,Journal Article,Not defined,Discusses both benefits and concerns,both private tutoring classes and public tutoring classes are found to increase students' uni entrance scores significantly (p.56). ,"entrance test scores at UFPE, a major university in the Northeast of Brazil",Students,"the importance of providing public tutoring classes, which was a policy implemented just a few years ago in attempt to compensate the large advantage students coming from wealthier families had over students coming from poorer environments (p.50)",Yes
5/27/2014 23:27:32,161e,,Policy analysis,Harvard International Review,2008,English,,"East Asia, South Asia, Southeast Asia, U.S. & Canada","Primary, Secondary",Comparative,Qualitative,None or Unclear to us,Supply & Demand / Economic Efficiency/ Culture,Both,Not defined,Not defined,Unclear,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, For cultural reasons, To provide extra enrichment activities (sports or arts), family culture",,Hang Duong,Journal Article,Not defined,Discusses benefits,,,N/A [documents],,No
5/28/2014 13:34:59,90e,,Original empirical research,University of Pennsylvania,2013,English,South Korea,,Secondary,Single-country / case,Quantitative,None or Unclear to us,"Related to curriculum coverage / ed. quality / exam prep, Equity",Subjects taught in school,"Designated tutoring center or franchise, Other outside school (e.g. teacher's home, coffee shop, library)","Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, For cultural reasons, Peer pressure",,Olga,Dissertation,"Current classroom teacher, Other K-12 teachers",Raises concerns,,"2005-2011 waves of the Korean Education Longitudinal Study and the Seoul Education Longitudinal Study (SELS), which began in 2010.","Teachers who do not tutor, Teachers who tutor, Parents / household, Students, Policymakers, school principals",social,Yes
5/30/2014 2:46:25,111e,,Original empirical research,"Massey University, Palmerston North, New Zealand",2012,English,Maldives,,Secondary,Single-country / case,Qualitative,None or Unclear to us,Related to curriculum coverage / ed. quality / exam prep,Subjects taught in school,Not defined,"Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school",,Olga,Dissertation,"Current classroom teacher, Other K-12 teachers",Raises concerns,,,"Teachers who do not tutor, Teachers who tutor",,No
5/30/2014 2:56:22,132e,,"Original empirical research, Review of other research",Springer,2012,English,Trinidad and Tobago,,"Primary, Secondary",Single-country / case,Mixed-methods,None or Unclear to us,"Equity, Global Trend",Subjects taught in school,"On school grounds, Designated tutoring center or franchise, Other outside school (e.g. teacher's home, coffee shop, library)","Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive",,Olga,Journal Article,"Current classroom teacher, Other K-12 teachers, Retired teacher",Raises concerns,,,"Teachers who do not tutor, Teachers who tutor, Parents / household, Students",social ,No
5/30/2014 3:08:16,136e,,,British Journal of Sociology of Education,2009,English,Australia,,Secondary,Single-country / case,Qualitative,"Social Capital, Bourdieu’s theory of social capital and cultural reproduction","Related to curriculum coverage / ed. quality / exam prep, Equity",Subjects taught in school,Not defined,"Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Peer pressure",,Olga,Journal Article,"Current classroom teacher, Other K-12 teachers",Addresses both benefits and concerns,,,"Teachers who do not tutor, Teachers who tutor, Parents / household, Students",ethnic/social,No
5/30/2014 3:28:03,153e,,Original empirical research,International J. Soc. Sci. & Education,2014,English,Turkey,,Secondary,Single-country / case,Qualitative,None or Unclear to us,"Related to curriculum coverage / ed. quality / exam prep, Equity, Global Trend",Subjects taught in school,Not defined,Not defined,Unclear,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school",,Olga,Journal Article,"Current classroom teacher, Other K-12 teachers",Addresses both benefits and concerns,,,"Teachers who do not tutor, Head teachers",Socioeconomic,No
